Name,Product Name,Description,Category,Type,Quantity,Estimated Cost,Total Cost,URL
"High-Capacity Battery Pack","LiFePO4 24V 100Ah Battery","Primary power source for the entire portable system, offering high capacity and cycle life.","electrical","power",1,1500.00,1500.00,"https://www.amazon.com/s?k=lifepo4+24v+100ah+battery+pack"
"Main Power Distribution Unit","Custom Multi-Output DC-DC Converter","Regulates and distributes power from the battery to various components (e.g., 24V, 12V, 5V, 3.3V rails).","electrical","power",1,400.00,400.00,"https://www.digikey.com/en/products/result?keywords=multi-output+dc-dc+converter"
"Multi-Axis Motor Driver","Trinamic TMC5160-EVAL Multi-Axis Controller","Controls multiple stepper motors for the robotic arm or gantry system to scan the SQUID sensors.","electrical","actuator",1,200.00,200.00,"https://www.digikey.com/en/products/detail/trinamic-motion-control-gmbh/TMC5160-EVAL/9726888"
"Main Base Platform","Aluminum Plate 5083 Grade","Heavy-duty, non-magnetic aluminum plate forming the base of the entire system for stability and mounting vibration isolation feet.","mechanical","structural",1,250.00,250.00,"https://www.amazon.com/s?k=aluminum+plate+non+magnetic+heavy+duty"
"Vibration Isolation Feet","M8 Anti-Vibration Mounts","Rubber/spring isolation feet to minimize external vibrations transmitted to the system.","mechanical","misc",4,15.00,60.00,"https://www.amazon.com/s?k=anti+vibration+mounts+m8"
"Gantry Vertical Extrusions","80x40 V-Slot Aluminum Extrusion","Sturdy vertical aluminum extrusions to form the uprights of the gantry system.","mechanical","structural",2,60.00,120.00,"https://www.amazon.com/s?k=8040+vslot+aluminum+extrusion"
"Gantry X-Axis Extrusion","40x40 V-Slot Aluminum Extrusion","Horizontal aluminum extrusion for the X-axis movement of the SQUID sensor head.","mechanical","structural",1,40.00,40.00,"https://www.amazon.com/s?k=4040+vslot+aluminum+extrusion"
"X-Axis Linear Rail","HIWIN HG Series Linear Rail","Precision linear guide rail for smooth and accurate X-axis motion.","mechanical","mechanism",1,120.00,120.00,"https://www.amazon.com/s?k=hiwin+hg+linear+rail+700mm"
"X-Axis Linear Carriage","HIWIN HGH20CA Linear Block","Linear bearing block to move along the X-axis rail.","mechanical","mechanism",2,60.00,120.00,"https://www.amazon.com/s?k=hiwin+hgh20ca+linear+block"
"X-Axis Lead Screw","T8 Lead Screw 2mm Pitch","Lead screw for precise X-axis positioning, driven by a stepper motor.","mechanical","mechanism",1,20.00,20.00,"https://www.amazon.com/s?k=t8+lead+screw+700mm"
"X-Axis Lead Screw Nut","T8 Anti-Backlash Lead Screw Nut","Anti-backlash nut for accurate and repeatable X-axis motion.","mechanical","mechanism",1,10.00,10.00,"https://www.amazon.com/s?k=t8+anti+backlash+nut"
"X-Axis Lead Screw Coupler","Flexible Shaft Coupler 5mm to 8mm","Connects the X-axis stepper motor to the lead screw.","mechanical","mechanism",1,5.00,5.00,"https://www.amazon.com/s?k=flexible+shaft+coupler+5mm+8mm"
"Main Electronics Enclosure","Hammond 1455 Series Aluminum Enclosure","Non-magnetic aluminum enclosure housing the pre-amplifiers, ADC, FPGA, AI system, and power distribution.","mechanical","enclosure",1,120.00,120.00,"https://www.amazon.com/s?k=hammond+1455+aluminum+enclosure+large"
"Mu-Metal Shielding Panels","Mu-metal sheet stock","High-permeability alloy panels used to passively shield the SQUID sensors from external magnetic interference.","mechanical","enclosure",4,300.00,1200.00,"https://www.amazon.com/s?k=mu-metal+sheet"
"SQUID Cryostat Outer Housing","Custom Fabricated Carbon Fiber Housing","Lightweight, non-magnetic carbon fiber housing for the SQUID sensor array and integrated cryocooler.","mechanical","enclosure",1,1500.00,1500.00,"https://www.google.com/search?q=custom+carbon+fiber+fabrication"
"M5 T-Nuts","M5 T-Slot Nuts for 40 Series","Used to connect components to the aluminum extrusions.","mechanical","misc",50,0.20,10.00,"https://www.amazon.com/s?k=m5+t+slot+nuts+4040"
"M5 Bolts","M5 Hex Socket Cap Screws","Fasteners for assembling the gantry structure and mounting components.","mechanical","misc",50,0.10,5.00,"https://www.amazon.com/s?k=m5+hex+socket+cap+screws"
"M3 PCB Standoffs","M3 Brass Hex Standoffs","Used to mount circuit boards inside the electronics enclosure.","mechanical","misc",30,0.50,15.00,"https://www.amazon.com/s?k=m3+brass+hex+standoffs"
"Electronics Board Mounts","Main Electronics Mount","Custom mounts designed to securely hold specific PCBs (pre-amp, ADC, FPGA, AI system) within the electronics enclosure.","mechanical","3d_printed",1,5.00,5.00,"https://www.amazon.com/s?k=3d+printer+filament+petg"
"SQUID Sensor Mount","pH Sensor Mount","Internal mount to precisely position the SQUID sensor array within its cryostat housing, non-magnetic.","mechanical","3d_printed",1,10.00,10.00,"https://www.amazon.com/s?k=3d+printer+filament+petg"
"Cryocooler Mounting Bracket","Cryocooler Mounting Plate","Custom bracket to securely mount the cryocooler to the main gantry structure or dedicated platform.","mechanical","3d_printed",1,8.00,8.00,"https://www.amazon.com/s?k=3d+printer+filament+abs"
"Mu-metal Panel Holders","","Small clips or frames to hold the Mu-metal shielding panels in place around the SQUID sensor head.","mechanical","3d_printed",4,2.00,8.00,"https://www.amazon.com/s?k=3d+printer+filament+pla"
"Cable Management Clips","Cable Management Clips","Custom cable clips to route and secure signal and power cables, minimizing movement and potential EMI.","mechanical","3d_printed",20,0.50,10.00,"https://www.amazon.com/s?k=3d+printer+filament+pla"
